stage,scope,question,primary_result,decision,artifact_reference
frozen_squat,squat_only,"Can a dedicated squat pose branch count repetitions reliably?","MAE=2.1405; RMSE=3.1016; Within-1=0.5625","Keep as squat control baseline","artifacts/3_Modeling/frozen_best_squat_result.json"
6_ALL,all_exercises,"Can a generic pose-sequence TCN scale beyond squat?","Beat trivial baseline on MAE for 7/9 exercises; errors still high","Freeze as shared pose baseline","artifacts/3_Modeling/frozen_all_exercises_counting_baseline_result.json"
6B,selected_exercises,"Is sequence length the main bottleneck?","Exercise-dependent, modest gains only","Treat seq_len as secondary lever","artifacts/3_Modeling/6B_Per_Exercise_SeqLen_Sweep_Colab.ipynb"
6C,selected_exercises,"Can exercise-specific keypoint weighting improve the pose branch?","Mostly negative; only push_up had a small isolated gain","Stop broad manual weighting","artifacts/3_Modeling/6C_Per_Exercise_Keypoint_Weighting_Colab.ipynb"
6D,selected_exercises,"Does weak pseudo-density supervision improve temporal counting?","Mostly negative; did not beat 6B","Do not adopt weak density supervision","artifacts/3_Modeling/6D_Per_Exercise_Density_Counting_Colab.ipynb"
7_RGB,squat_pull_up_push_up,"Does RGB recover useful counting signal beyond pose?","push_up improved; pull_up stayed pose-friendly; squat remained far below dedicated squat pose baseline","Continue RGB branch as controlled comparison","artifacts/3_Modeling/7_RGB_Counting_Baseline_Colab.ipynb"
7B,squat_pull_up_push_up,"Was the first RGB branch limited by weak RGB representation?","Stronger RGB helped pull_up and squat; push_up regressed vs Stage 7 RGB","Stronger RGB matters, but no universal winner","artifacts/3_Modeling/7B_Stronger_RGB_Backbone_Colab.ipynb"
7C,squat_pull_up_push_up,"Is RGB only helping when pose quality is weak?","No; push_up gains extend beyond weak-pose cases; squat remains pose-first on strong pose quality","Treat RGB as complementary, not just fallback","artifacts/3_Modeling/7C_Representation_Fit_Analysis_Colab.ipynb"
7D,squat_pull_up_push_up,"What failure modes remain after pose and RGB comparison?","squat shows pose advantage on clean geometry; push_up shows RGB advantage on weak pose/context; pull_up remains mixed","Keep exercise-dependent interpretation","artifacts/3_Modeling/7D_Hard_Case_Data_Audit_Colab.ipynb"
7E,squat_pull_up_push_up,"Can simple late fusion beat both single-modality branches?","No clear win; MAE gains in places but Within-1 degraded; squat still poor","Freeze as negative multimodal result","artifacts/3_Modeling/7E_Multimodal_Pose_RGB_Fusion_Colab.ipynb"
8_route,supported_exercises,"Can the project produce a practical exercise-dependent counting surface?","Route: squat->dedicated pose; pull_up->pose_6B; push_up->RGB Stage 7","Build and evaluate routed prototype","artifacts/3_Modeling/8_Exercise_Dependent_Counting_Colab.ipynb"
9_transformer,squat_pull_up_push_up,"Can a generic pose transformer improve on the shared pose TCN?","No decisive win; generic transformer stayed weaker than the best practical branch on all three exercises","Do not promote transformer as new baseline","artifacts/3_Modeling/9_Pose_Transformer_Colab.ipynb"
9B,squat_pull_up_push_up,"Does the current pose augmentation help the transformer branch?","No robust gain; pull_up MAE improved slightly but Within-1 worsened, while push_up and squat were effectively unchanged","Close augmentation question as negative-but-informative result","artifacts/3_Modeling/9B_Pose_Transformer_Augmentation_Ablation_Colab.ipynb"
10_pull_up_pose,pull_up_only,"Does dedicated pull_up pose tuning produce a clear new winner?","Best MAE candidate reached 3.5463, but Within-1 fell to 0.2857 and no run beat the current practical tradeoff","Keep pull_up mixed","artifacts/3_Modeling/10_PullUp_Dedicated_Pose_Colab.ipynb"
11_confidence_intervals,reportable_runs,"How stable are the final reported control and routed metrics on the small validation splits?","Dedicated squat plus routed pull_up and push_up all produced wide 95% bootstrap CIs; conclusions remain directional rather than precise","Use CI reporting in final writeup and avoid over-claiming narrow differences","artifacts/3_Modeling/11_Reportable_Confidence_Intervals_Colab.ipynb"
